family,seed,policy,capacity_limit_mode,capacity_limit,C,B,feasible,feasible_reason,legacy_compressibility,slack_ratio,mean_t_slack,T_static,T_exe,stall_cycles,stall_ratio,delta_max,gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
high_compressibility,1,smoothed,none,0,1,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,1,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,405.0,3.875
high_compressibility,1,capacity_aware_static,C,1,1,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,29,29.0,0.0,0.0,0,0,1,1.0,29,331.0,1.0
high_compressibility,1,smoothed,none,0,1,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,461.0,2.9
high_compressibility,1,static_min,none,0,2,0,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,17,17,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,2,2,0,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,0,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,10,inf,inf,1.0,9,9,3,2.9,29,inf,inf
high_compressibility,1,static_min,none,0,2,1,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,17,17,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,2,2,1,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,1,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,19.0,9.0,0.47368421052631576,9,9,3,2.9,29,306.0,1.9
high_compressibility,1,static_min,none,0,2,2,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,17,17,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,2,2,2,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,2,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
